Alpha,T1_Re0.001_M0.00_N9.0, , Alpha,T1_Re0.002_M0.00_N9.0, , Alpha,T1_Re0.003_M0.00_N9.0, , Alpha,T1_Re0.004_M0.00_N9.0, , Alpha,T1_Re0.005_M0.00_N9.0, , Alpha,T1_Re0.006_M0.00_N9.0, , Alpha,T1_Re0.007_M0.00_N9.0, , Alpha,T1_Re0.008_M0.00_N9.0, , Alpha,T1_Re0.009_M0.00_N9.0, , Alpha,T1_Re0.010_M0.00_N9.0, , Alpha,T1_Re0.020_M0.00_N9.0, , Alpha,T1_Re0.030_M0.00_N9.0, , Alpha,T1_Re0.040_M0.00_N9.0, , Alpha,T1_Re0.050_M0.00_N9.0, , Alpha,T1_Re0.060_M0.00_N9.0, , Alpha,T1_Re0.070_M0.00_N9.0, , Alpha,T1_Re0.080_M0.00_N9.0, , Alpha,T1_Re0.090_M0.00_N9.0, , Alpha,T1_Re0.100_M0.00_N9.0, , Alpha,T1_Re0.200_M0.00_N9.0, , Alpha,T1_Re0.300_M0.00_N9.0, , Alpha,T1_Re0.400_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.600_M0.00_N9.0, , Alpha,T1_Re0.700_M0.00_N9.0, , Alpha,T1_Re0.800_M0.00_N9.0, , Alpha,T1_Re0.900_M0.00_N9.0, , Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , Alpha,T1_Re20.000_M0.00_N9.0, , Alpha,T1_Re30.000_M0.00_N9.0, , Alpha,T1_Re40.000_M0.00_N9.0, , Alpha,T1_Re50.000_M0.00_N9.0, , Alpha,T1_Re60.000_M0.00_N9.0, , Alpha,T1_Re70.000_M0.00_N9.0, , Alpha,T1_Re80.000_M0.00_N9.0, , Alpha,T1_Re90.000_M0.00_N9.0, , Alpha,T1_Re100.000_M0.00_N9.0, , 
           -5,     0.1276926, ,            -5,    0.09561304, ,            -5,    0.08168638, ,            -5,    0.07351027, ,            -5,    0.06804986, ,            -5,    0.06411856, ,            -5,    0.06114669, ,            -5,    0.05881301, ,            -5,    0.05693114, ,            -5,     0.0553801, ,            -5,    0.05255166, ,            -5,    0.03792839, ,            -5,    0.02848871, ,            -5,    0.02416418, ,            -5,    0.02159234, ,            -5,    0.01984666, ,            -5,    0.01855559, ,            -5,    0.01755173, ,            -5,    0.01675074, ,            -5,    0.01308362, ,            -5,    0.01172996, ,            -5,    0.01096258, ,            -5,    0.01038961, ,            -5,   0.009847701, ,            -5,    0.00940899, ,            -5,   0.009048601, ,            -5,   0.008757478, ,            -5,    0.00849494, ,            -5,   0.007283247, ,            -5,   0.006832488, ,            -5,   0.006611283, ,            -5,   0.006460823, ,            -5,   0.006362986, ,            -5,   0.006273543, ,            -5,   0.006215861, ,            -5,   0.006158656, ,            -5,   0.006129597, ,            -5,   0.005885826, ,            -5,   0.005749332, ,            -5,   0.005661985, ,            -5,   0.005576674, ,            -5,   0.005522892, ,            -5,   0.005461122, ,            -5,    0.00541759, ,            -5,   0.005378331, ,          -4.9,   0.005318091, , 
         -4.9,     0.1272538, ,          -4.9,    0.09508834, ,          -4.9,     0.0811193, ,          -4.9,    0.07291174, ,          -4.9,    0.06742645, ,          -4.9,    0.06347377, ,          -4.9,    0.06048349, ,          -4.9,    0.05813379, ,          -4.9,    0.05623641, ,          -4.9,    0.05467195, ,          -4.9,    0.05035357, ,          -4.9,     0.0384607, ,          -4.9,    0.02830005, ,          -4.9,    0.02395917, ,          -4.9,    0.02137506, ,          -4.9,    0.01962697, ,          -4.9,    0.01834224, ,          -4.9,    0.01734463, ,          -4.9,    0.01654849, ,          -4.9,    0.01291555, ,          -4.9,    0.01158648, ,          -4.9,     0.0108366, ,          -4.9,    0.01024626, ,          -4.8,   0.009561188, ,          -4.9,   0.009265327, ,          -4.9,   0.008911389, ,          -4.9,   0.008623377, ,          -4.9,   0.008368804, ,          -4.9,   0.007194145, ,          -4.9,   0.006777097, ,          -4.9,   0.006545967, ,          -4.9,    0.00641118, ,          -4.9,   0.006309435, ,          -4.9,   0.006238199, ,          -4.9,   0.006180142, ,          -4.9,   0.006134603, ,          -4.9,   0.006086243, ,          -4.9,   0.005871541, ,          -4.9,   0.005729859, ,          -4.9,   0.005633517, ,          -4.9,   0.005550253, ,          -4.9,   0.005493442, ,          -4.8,   0.005425045, ,          -4.9,   0.005392032, ,          -4.8,    0.00533021, ,          -4.8,   0.005299893, , 
         -4.8,     0.1268284, ,          -4.8,    0.09457821, ,          -4.8,    0.08056784, ,          -4.8,    0.07233023, ,          -4.8,     0.0668205, ,          -4.8,    0.06284673, ,          -4.8,    0.05983799, ,          -4.8,    0.05747234, ,          -4.8,    0.05556016, ,          -4.8,    0.05398227, ,          -4.8,    0.04754621, ,          -4.8,    0.03853239, ,          -4.8,    0.02803849, ,          -4.8,    0.02374584, ,          -4.8,    0.02117353, ,          -4.8,    0.01942106, ,          -4.8,    0.01813574, ,          -4.8,    0.01715466, ,          -4.8,    0.01636272, ,          -4.8,    0.01275852, ,          -4.8,    0.01144736, ,          -4.8,    0.01071512, ,          -4.8,    0.01009995, ,          -4.7,   0.009414526, ,          -4.8,   0.009124106, ,          -4.8,   0.008775103, ,          -4.8,   0.008491508, ,          -4.8,   0.008239384, ,          -4.8,   0.007104898, ,          -4.8,   0.006708094, ,          -4.8,   0.006499156, ,          -4.8,   0.006367453, ,          -4.8,    0.00627981, ,          -4.8,   0.006208256, ,          -4.8,   0.006146089, ,          -4.8,   0.006102909, ,          -4.8,   0.006064163, ,          -4.8,    0.00583914, ,          -4.8,   0.005714546, ,          -4.8,   0.005608479, ,          -4.8,   0.005533115, ,          -4.8,   0.005467875, ,          -4.7,    0.00539641, ,          -4.8,   0.005367968, ,          -4.7,   0.005306148, ,          -4.6,   0.005247222, , 
         -4.7,     0.1264153, ,          -4.7,    0.09408155, ,          -4.7,    0.08003139, ,          -4.7,    0.07176482, ,          -4.7,    0.06623128, ,          -4.7,    0.06223697, ,          -4.7,    0.05921012, ,          -4.7,    0.05682875, ,          -4.7,    0.05490216, ,          -4.7,     0.0533109, ,          -4.7,    0.04556923, ,          -4.7,    0.03829369, ,          -4.7,    0.02798044, ,          -4.7,    0.02353057, ,          -4.7,    0.02097944, ,          -4.7,    0.01922616, ,          -4.7,    0.01794731, ,          -4.7,    0.01696637, ,          -4.7,    0.01619172, ,          -4.7,    0.01261157, ,          -4.7,    0.01131593, ,          -4.7,    0.01059852, ,          -4.7,   0.009956211, ,          -4.6,   0.009272236, ,          -4.7,   0.008985993, ,          -4.7,    0.00864266, ,          -4.7,   0.008357868, ,          -4.7,   0.008110615, ,          -4.7,   0.007021372, ,          -4.6,   0.006589676, ,          -4.7,   0.006441271, ,          -4.7,   0.006311944, ,          -4.7,   0.006227605, ,          -4.7,   0.006164466, ,          -4.7,   0.006120096, ,          -4.7,   0.006068078, ,          -4.7,   0.006035756, ,          -4.7,   0.005808477, ,          -4.6,    0.00566156, ,          -4.7,   0.005583424, ,          -4.7,   0.005519942, ,          -4.7,   0.005443648, ,          -4.6,   0.005364745, ,          -4.7,   0.005355215, ,          -4.5,   0.005273971, ,          -4.5,   0.005234221, , 
         -4.6,     0.1260148, ,          -4.6,    0.09359834, ,          -4.6,    0.07950979, ,          -4.6,    0.07121523, ,          -4.6,    0.06565877, ,          -4.6,    0.06164465, ,          -4.6,    0.05859954, ,          -4.6,    0.05620275, ,          -4.6,    0.05426258, ,          -4.6,    0.05265806, ,          -4.6,    0.04482935, ,          -4.6,     0.0389481, ,          -4.6,    0.02795609, ,          -4.6,    0.02340111, ,          -4.6,    0.02078775, ,          -4.6,    0.01904572, ,          -4.6,    0.01777204, ,          -4.6,    0.01679128, ,          -4.6,    0.01601635, ,          -4.6,    0.01247372, ,          -4.6,    0.01119088, ,          -4.6,     0.0104862, ,          -4.6,   0.009809325, ,          -4.5,   0.009134817, ,          -4.6,   0.008849568, ,          -4.6,   0.008511712, ,          -4.6,   0.008226366, ,          -4.6,   0.007984272, ,          -4.5,   0.006862004, ,          -4.5,   0.006520788, ,          -4.6,   0.006394912, ,          -4.6,   0.006279123, ,          -4.6,     0.0061943, ,          -4.6,   0.006133257, ,          -4.6,   0.006079787, ,          -4.6,   0.006044928, ,          -4.6,   0.006000802, ,          -4.6,   0.005787662, ,          -4.5,   0.005639604, ,          -4.6,   0.005566509, ,          -4.6,   0.005490813, ,          -4.6,   0.005429254, ,          -4.5,   0.005356191, ,          -4.6,   0.005333091, ,          -4.4,   0.005246623, ,          -4.3,   0.005193447, , 
         -4.5,     0.1256268, ,          -4.5,    0.09312844, ,          -4.5,    0.07900279, ,          -4.5,    0.07068144, ,          -4.5,     0.0651024, ,          -4.5,    0.06106915, ,          -4.5,    0.05800669, ,          -4.5,     0.0555947, ,          -4.5,    0.05364094, ,          -4.5,     0.0520237, ,          -4.5,    0.04410787, ,          -4.5,    0.03898261, ,          -4.5,    0.02791077, ,          -4.5,    0.02328119, ,          -4.5,    0.02062864, ,          -4.5,    0.01888194, ,          -4.5,    0.01760881, ,          -4.5,    0.01662992, ,          -4.5,    0.01585496, ,          -4.5,    0.01234401, ,          -4.5,    0.01107146, ,          -4.5,    0.01035841, ,          -4.5,   0.009671192, ,          -4.4,   0.009002117, ,          -4.5,   0.008716118, ,          -4.5,   0.008381004, ,          -4.5,   0.008095472, ,          -4.5,   0.007860668, ,          -4.4,   0.006782499, ,          -4.4,   0.006451927, ,          -4.4,    0.00629135, ,          -4.5,   0.006223947, ,          -4.5,   0.006145939, ,          -4.5,   0.006089922, ,          -4.5,   0.006050929, ,          -4.5,   0.006004995, ,          -4.5,   0.005979014, ,          -4.5,   0.005757068, ,          -4.4,   0.005617347, ,          -4.5,   0.005554847, ,          -4.5,   0.005469529, ,          -4.5,   0.005417127, ,          -4.4,    0.00533949, ,          -4.4,   0.005287688, ,          -4.3,   0.005220971, ,          -4.2,   0.005172568, , 
         -4.4,     0.1252517, ,          -4.4,    0.09267115, ,          -4.4,    0.07851013, ,          -4.4,    0.07016299, ,          -4.4,    0.06456282, ,          -4.4,    0.06051092, ,          -4.4,    0.05743128, ,          -4.4,    0.05500434, ,          -4.4,     0.0530372, ,          -4.4,    0.05140786, ,          -4.4,    0.04340505, ,          -4.4,    0.03918457, ,          -4.4,    0.02783185, ,          -4.4,    0.02316441, ,          -4.4,    0.02049055, ,          -4.4,    0.01873086, ,          -4.4,    0.01745522, ,          -4.4,    0.01647896, ,          -4.4,    0.01570554, ,          -4.4,    0.01222166, ,          -4.4,    0.01095841, ,          -4.4,    0.01022284, ,          -4.4,   0.009532903, ,          -4.3,   0.008872591, ,          -4.4,   0.008585269, ,          -4.3,   0.008114493, ,          -4.4,   0.007965104, ,          -4.4,   0.007745877, ,          -4.3,   0.006704497, ,          -4.3,   0.006403477, ,          -4.3,   0.006250161, ,          -4.4,   0.006195119, ,          -4.3,   0.006073211, ,          -4.4,   0.006053842, ,          -4.4,   0.006004864, ,          -4.4,   0.005979489, ,          -4.4,   0.005940342, ,          -4.4,   0.005729955, ,          -4.3,   0.005582971, ,          -4.3,   0.005502896, ,          -4.4,   0.005450294, ,          -4.4,   0.005390673, ,          -4.3,   0.005321836, ,          -4.3,   0.005272771, ,          -4.2,   0.005214482, ,            -4,   0.005146441, , 
         -4.3,     0.1248877, ,          -4.3,    0.09222703, ,          -4.3,     0.0780325, ,          -4.3,    0.06966042, ,          -4.3,    0.06403956, ,          -4.3,    0.05996952, ,          -4.3,    0.05687317, ,          -4.3,    0.05443158, ,          -4.3,    0.05245128, ,          -4.3,    0.05080999, ,          -4.3,     0.0427213, ,          -4.3,    0.03945441, ,          -4.3,    0.02770064, ,          -4.3,     0.0230475, ,          -4.3,    0.02036379, ,          -4.3,    0.01858988, ,          -4.3,    0.01730994, ,          -4.3,    0.01633785, ,          -4.3,    0.01556589, ,          -4.3,    0.01210584, ,          -4.3,    0.01085233, ,          -4.3,    0.01009918, ,          -4.3,   0.009402751, ,          -4.2,   0.008740135, ,          -4.3,    0.00845646, ,          -4.2,   0.007983409, ,          -4.3,   0.007841189, ,          -4.3,   0.007628606, ,          -4.2,   0.006629354, ,          -4.2,   0.006337055, ,          -4.2,   0.006187848, ,          -4.3,   0.006143849, ,          -4.2,    0.00604521, ,          -4.3,   0.006019079, ,          -4.3,   0.005983628, ,          -4.3,   0.005935019, ,          -4.3,   0.005916017, ,          -4.3,   0.005718224, ,          -4.2,   0.005571768, ,          -4.2,   0.005483223, ,          -4.3,   0.005435272, ,          -4.3,   0.005369716, ,          -4.2,   0.005306099, ,          -4.2,    0.00525547, ,          -4.1,   0.005199656, ,          -3.9,   0.005134643, , 
         -4.2,      0.124537, ,          -4.2,    0.09179671, ,          -4.2,    0.07756929, ,          -4.2,    0.06917326, ,          -4.2,    0.06353236, ,          -4.2,    0.05944479, ,          -4.2,    0.05633223, ,          -4.2,    0.05387632, ,          -4.2,    0.05188305, ,          -4.2,       0.05023, ,          -4.2,    0.04205619, ,          -4.2,    0.03956966, ,          -4.2,    0.02777336, ,          -4.2,    0.02292505, ,          -4.2,    0.02024552, ,          -4.2,    0.01845764, ,          -4.2,    0.01717462, ,          -4.2,     0.0162052, ,          -4.2,    0.01543478, ,          -4.2,    0.01199474, ,          -4.2,    0.01075205, ,          -4.2,   0.009956607, ,          -4.2,   0.009267805, ,          -4.1,   0.008607228, ,          -4.2,   0.008321895, ,          -4.1,   0.007862952, ,          -4.2,   0.007725425, ,          -4.2,   0.007512267, ,          -4.1,   0.006553387, ,          -4.1,   0.006281564, ,          -4.1,   0.006138236, ,          -4.2,   0.006105548, ,          -4.1,   0.005997689, ,          -4.2,    0.00598965, ,          -4.2,   0.005939117, ,          -4.2,    0.00591435, ,          -4.2,   0.005874304, ,          -4.2,   0.005688488, ,          -4.1,   0.005549338, ,          -4.1,   0.005458925, ,          -4.2,   0.005420451, ,          -4.2,   0.005352213, ,          -4.1,   0.005278695, ,          -4.1,   0.005246077, ,            -4,    0.00518309, ,          -3.8,   0.005114116, , 
         -4.1,     0.1241982, ,          -4.1,    0.09137937, ,          -4.1,    0.07712034, ,          -4.1,    0.06870136, ,          -4.1,    0.06304112, ,          -4.1,    0.05893657, ,          -4.1,    0.05580827, ,          -4.1,    0.05333835, ,          -4.1,    0.05133239, ,          -4.1,    0.04966776, ,          -4.1,    0.04140973, ,          -4.1,    0.03958994, ,          -4.1,    0.02789414, ,          -4.1,    0.02284113, ,          -4.1,    0.02013648, ,          -4.1,    0.01833379, ,          -4.1,    0.01704964, ,          -4.1,    0.01608043, ,          -4.1,    0.01531147, ,          -4.1,    0.01188527, ,          -4.1,    0.01065686, ,          -4.1,   0.009828239, ,          -4.1,   0.009134242, ,            -4,   0.008476194, ,          -4.1,   0.008189225, ,            -4,   0.007745093, ,          -4.1,   0.007607352, ,          -4.1,   0.007401322, ,            -4,   0.006475555, ,            -4,   0.006223852, ,            -4,   0.006103826, ,            -4,    0.00600939, ,            -4,   0.005962616, ,          -4.1,   0.005952359, ,          -4.1,   0.005921902, ,          -4.1,   0.005876989, ,          -4.1,   0.005854223, ,          -4.1,   0.005666224, ,            -4,   0.005522188, ,            -4,   0.005435429, ,          -4.1,    0.00538468, ,          -4.1,   0.005336044, ,            -4,   0.005266632, ,            -4,   0.005220564, ,          -3.9,    0.00517084, ,          -3.7,   0.005093899, , 
