Alpha,T1_Re0.001_M0.00_N9.0, , Alpha,T1_Re0.002_M0.00_N9.0, , Alpha,T1_Re0.003_M0.00_N9.0, , Alpha,T1_Re0.004_M0.00_N9.0, , Alpha,T1_Re0.005_M0.00_N9.0, , Alpha,T1_Re0.006_M0.00_N9.0, , Alpha,T1_Re0.007_M0.00_N9.0, , Alpha,T1_Re0.008_M0.00_N9.0, , Alpha,T1_Re0.009_M0.00_N9.0, , Alpha,T1_Re0.010_M0.00_N9.0, , Alpha,T1_Re0.020_M0.00_N9.0, , Alpha,T1_Re0.030_M0.00_N9.0, , Alpha,T1_Re0.040_M0.00_N9.0, , Alpha,T1_Re0.050_M0.00_N9.0, , Alpha,T1_Re0.060_M0.00_N9.0, , Alpha,T1_Re0.070_M0.00_N9.0, , Alpha,T1_Re0.080_M0.00_N9.0, , Alpha,T1_Re0.090_M0.00_N9.0, , Alpha,T1_Re0.100_M0.00_N9.0, , Alpha,T1_Re0.200_M0.00_N9.0, , Alpha,T1_Re0.300_M0.00_N9.0, , Alpha,T1_Re0.400_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.600_M0.00_N9.0, , Alpha,T1_Re0.700_M0.00_N9.0, , Alpha,T1_Re0.800_M0.00_N9.0, , Alpha,T1_Re0.900_M0.00_N9.0, , Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , Alpha,T1_Re20.000_M0.00_N9.0, , Alpha,T1_Re30.000_M0.00_N9.0, , Alpha,T1_Re40.000_M0.00_N9.0, , Alpha,T1_Re50.000_M0.00_N9.0, , Alpha,T1_Re60.000_M0.00_N9.0, , Alpha,T1_Re70.000_M0.00_N9.0, , Alpha,T1_Re80.000_M0.00_N9.0, , Alpha,T1_Re90.000_M0.00_N9.0, , Alpha,T1_Re100.000_M0.00_N9.0, , 
           -5,    -0.2420297, ,            -5,    -0.2186561, ,            -5,    -0.2051278, ,            -5,    -0.1954452, ,            -5,    -0.1878568, ,            -5,    -0.1816498, ,            -5,    -0.1764916, ,            -5,     -0.172075, ,            -5,    -0.1682565, ,            -5,    -0.1649127, ,            -5,    -0.2498653, ,            -5,    -0.5970782, ,            -5,    -0.6185914, ,            -5,    -0.6192127, ,            -5,     -0.617701, ,            -5,    -0.6158965, ,            -5,    -0.6149502, ,            -5,    -0.6145135, ,            -5,    -0.6144625, ,            -5,    -0.6198641, ,            -5,    -0.6264729, ,            -5,    -0.6322197, ,            -5,    -0.6270032, ,            -5,    -0.6035045, ,            -5,    -0.5869543, ,            -5,    -0.5740969, ,            -5,    -0.5632803, ,            -5,    -0.5553195, ,            -5,    -0.5410078, ,            -5,    -0.5499367, ,            -5,    -0.5548449, ,            -5,    -0.5580305, ,            -5,     -0.560265, ,            -5,    -0.5620371, ,            -5,    -0.5633275, ,            -5,    -0.5645125, ,            -5,     -0.565413, ,            -5,    -0.5710496, ,            -5,    -0.5738619, ,            -5,    -0.5755863, ,            -5,     -0.576897, ,            -5,     -0.577772, ,            -5,    -0.5786114, ,            -5,    -0.5792009, ,            -5,    -0.5797216, ,          -4.9,    -0.5686636, , 
         -4.9,    -0.2380727, ,          -4.9,     -0.215202, ,          -4.9,    -0.2018421, ,          -4.9,    -0.1922298, ,          -4.9,    -0.1846694, ,          -4.9,    -0.1784633, ,          -4.9,    -0.1732942, ,          -4.9,    -0.1688624, ,          -4.9,    -0.1650106, ,          -4.9,    -0.1616357, ,          -4.9,    -0.2119783, ,          -4.9,    -0.5787568, ,          -4.9,    -0.6111963, ,          -4.9,    -0.6117315, ,          -4.9,    -0.6101733, ,          -4.9,    -0.6085872, ,          -4.9,    -0.6077251, ,          -4.9,    -0.6071632, ,          -4.9,    -0.6070475, ,          -4.9,    -0.6118343, ,          -4.9,    -0.6180535, ,          -4.9,    -0.6235957, ,          -4.9,    -0.6120757, ,          -4.8,    -0.5745143, ,          -4.9,    -0.5728499, ,          -4.9,    -0.5596874, ,          -4.9,    -0.5491944, ,          -4.9,    -0.5421105, ,          -4.9,    -0.5306296, ,          -4.9,    -0.5393321, ,          -4.9,    -0.5440872, ,          -4.9,    -0.5470568, ,          -4.9,    -0.5492174, ,          -4.9,    -0.5508384, ,          -4.9,    -0.5521686, ,          -4.9,    -0.5532958, ,          -4.9,    -0.5542488, ,          -4.9,      -0.55965, ,          -4.9,    -0.5623841, ,          -4.9,    -0.5641144, ,          -4.9,    -0.5654238, ,          -4.9,    -0.5662856, ,          -4.8,    -0.5555657, ,          -4.9,    -0.5677421, ,          -4.8,    -0.5567432, ,          -4.8,    -0.5571331, , 
         -4.8,    -0.2340715, ,          -4.8,    -0.2117011, ,          -4.8,    -0.1985168, ,          -4.8,    -0.1889775, ,          -4.8,    -0.1814468, ,          -4.8,    -0.1752437, ,          -4.8,    -0.1700636, ,          -4.8,    -0.1656171, ,          -4.8,     -0.161737, ,          -4.8,    -0.1583307, ,          -4.8,    -0.1632398, ,          -4.8,    -0.5663574, ,          -4.8,    -0.6048772, ,          -4.8,    -0.6046176, ,          -4.8,    -0.6027692, ,          -4.8,    -0.6013106, ,          -4.8,     -0.600297, ,          -4.8,    -0.5997492, ,          -4.8,    -0.5995345, ,          -4.8,    -0.6037121, ,          -4.8,    -0.6095853, ,          -4.8,    -0.6149249, ,          -4.8,    -0.5973713, ,          -4.7,    -0.5604486, ,          -4.8,    -0.5584679, ,          -4.8,    -0.5451194, ,          -4.8,    -0.5362158, ,          -4.8,     -0.528463, ,          -4.8,    -0.5202354, ,          -4.8,    -0.5285323, ,          -4.8,     -0.533112, ,          -4.8,    -0.5360691, ,          -4.8,    -0.5381114, ,          -4.8,    -0.5397006, ,          -4.8,    -0.5410279, ,          -4.8,    -0.5420296, ,          -4.8,    -0.5430183, ,          -4.8,    -0.5483112, ,          -4.8,    -0.5509693, ,          -4.8,    -0.5527345, ,          -4.8,    -0.5538987, ,          -4.8,    -0.5549099, ,          -4.7,    -0.5440958, ,          -4.8,    -0.5562008, ,          -4.7,    -0.5452201, ,          -4.6,    -0.5341274, , 
         -4.7,    -0.2300275, ,          -4.7,     -0.208156, ,          -4.7,    -0.1951513, ,          -4.7,    -0.1856882, ,          -4.7,    -0.1781896, ,          -4.7,    -0.1719912, ,          -4.7,    -0.1668007, ,          -4.7,    -0.1623398, ,          -4.7,    -0.1584378, ,          -4.7,    -0.1549987, ,          -4.7,    -0.1347812, ,          -4.7,    -0.5585047, ,          -4.7,    -0.5962676, ,          -4.7,    -0.5977323, ,          -4.7,    -0.5954835, ,          -4.7,    -0.5941066, ,          -4.7,    -0.5928424, ,          -4.7,    -0.5922425, ,          -4.7,    -0.5919305, ,          -4.7,    -0.5955037, ,          -4.7,    -0.6010449, ,          -4.7,    -0.6061615, ,          -4.7,    -0.5825906, ,          -4.6,    -0.5460069, ,          -4.7,     -0.543882, ,          -4.7,    -0.5317135, ,          -4.7,    -0.5224766, ,          -4.7,     -0.514874, ,          -4.7,    -0.5098234, ,          -4.6,    -0.5070251, ,          -4.7,    -0.5223051, ,          -4.7,     -0.525083, ,          -4.7,    -0.5270633, ,          -4.7,    -0.5285739, ,          -4.7,    -0.5297383, ,          -4.7,    -0.5308856, ,          -4.7,    -0.5317052, ,          -4.7,    -0.5370242, ,          -4.6,    -0.5281917, ,          -4.7,    -0.5412746, ,          -4.7,    -0.5424224, ,          -4.7,    -0.5433861, ,          -4.6,    -0.5326059, ,          -4.7,      -0.54467, ,          -4.5,    -0.5221256, ,          -4.5,    -0.5225568, , 
         -4.6,    -0.2259418, ,          -4.6,    -0.2045662, ,          -4.6,    -0.1917454, ,          -4.6,    -0.1823617, ,          -4.6,    -0.1748971, ,          -4.6,    -0.1687078, ,          -4.6,    -0.1635068, ,          -4.6,    -0.1590323, ,          -4.6,    -0.1551132, ,          -4.6,    -0.1516419, ,          -4.6,    -0.1311093, ,          -4.6,    -0.5339636, ,          -4.6,     -0.587552, ,          -4.6,    -0.5897645, ,          -4.6,    -0.5883965, ,          -4.6,    -0.5865978, ,          -4.6,    -0.5853379, ,          -4.6,    -0.5846654, ,          -4.6,    -0.5843082, ,          -4.6,    -0.5872169, ,          -4.6,     -0.592445, ,          -4.6,    -0.5972631, ,          -4.6,    -0.5676597, ,          -4.5,    -0.5312941, ,          -4.6,    -0.5290984, ,          -4.6,    -0.5181525, ,          -4.6,    -0.5084093, ,          -4.6,     -0.501222, ,          -4.5,    -0.4889491, ,          -4.5,    -0.4964482, ,          -4.6,    -0.5112848, ,          -4.6,    -0.5140567, ,          -4.6,      -0.51593, ,          -4.6,    -0.5173917, ,          -4.6,    -0.5186507, ,          -4.6,    -0.5195811, ,          -4.6,    -0.5205352, ,          -4.6,    -0.5255989, ,          -4.5,    -0.5166879, ,          -4.6,    -0.5297617, ,          -4.6,    -0.5309366, ,          -4.6,    -0.5318404, ,          -4.5,    -0.5210949, ,          -4.6,    -0.5331589, ,          -4.4,    -0.5106106, ,          -4.3,    -0.4994591, , 
         -4.5,    -0.2218153, ,          -4.5,    -0.2009313, ,          -4.5,    -0.1882969, ,          -4.5,     -0.178997, ,          -4.5,    -0.1715703, ,          -4.5,    -0.1653937, ,          -4.5,    -0.1601822, ,          -4.5,    -0.1556953, ,          -4.5,    -0.1517597, ,          -4.5,    -0.1482619, ,          -4.5,    -0.1274084, ,          -4.5,    -0.5192932, ,          -4.5,    -0.5792522, ,          -4.5,    -0.5819892, ,          -4.5,    -0.5807936, ,          -4.5,    -0.5789792, ,          -4.5,    -0.5778076, ,          -4.5,    -0.5770284, ,          -4.5,    -0.5766043, ,          -4.5,    -0.5788584, ,          -4.5,    -0.5837983, ,          -4.5,    -0.5853863, ,          -4.5,    -0.5525085, ,          -4.4,    -0.5163206, ,          -4.5,    -0.5156516, ,          -4.5,    -0.5040426, ,          -4.5,    -0.4943529, ,          -4.5,    -0.4875443, ,          -4.4,    -0.4785484, ,          -4.4,    -0.4856146, ,          -4.4,    -0.4894339, ,          -4.5,    -0.5030207, ,          -4.5,    -0.5049234, ,          -4.5,    -0.5063326, ,          -4.5,    -0.5073935, ,          -4.5,      -0.50842, ,          -4.5,    -0.5092243, ,          -4.5,    -0.5143033, ,          -4.4,    -0.5053248, ,          -4.5,    -0.5182869, ,          -4.5,    -0.5195094, ,          -4.5,    -0.5203298, ,          -4.4,     -0.509509, ,          -4.4,    -0.5101559, ,          -4.3,     -0.499062, ,          -4.2,    -0.4879343, , 
         -4.4,      -0.21765, ,          -4.4,    -0.1972462, ,          -4.4,     -0.184808, ,          -4.4,    -0.1755954, ,          -4.4,    -0.1682089, ,          -4.4,    -0.1620473, ,          -4.4,    -0.1568272, ,          -4.4,    -0.1523293, ,          -4.4,    -0.1483778, ,          -4.4,     -0.144861, ,          -4.4,    -0.1236822, ,          -4.4,     -0.498932, ,          -4.4,    -0.5715158, ,          -4.4,    -0.5743835, ,          -4.4,    -0.5730878, ,          -4.4,    -0.5713667, ,          -4.4,    -0.5702531, ,          -4.4,    -0.5693207, ,          -4.4,    -0.5688314, ,          -4.4,    -0.5704375, ,          -4.4,     -0.575074, ,          -4.4,    -0.5699285, ,          -4.4,    -0.5381099, ,          -4.3,    -0.5018874, ,          -4.4,    -0.5018352, ,          -4.3,    -0.4751055, ,          -4.4,    -0.4803905, ,          -4.4,    -0.4758954, ,          -4.3,    -0.4680416, ,          -4.3,      -0.47487, ,          -4.3,    -0.4784896, ,          -4.4,    -0.4919109, ,          -4.3,    -0.4826692, ,          -4.4,    -0.4951241, ,          -4.4,    -0.4962933, ,          -4.4,    -0.4971997, ,          -4.4,    -0.4980237, ,          -4.4,    -0.5029196, ,          -4.3,    -0.4939162, ,          -4.3,    -0.4954281, ,          -4.4,    -0.5079811, ,          -4.4,    -0.5088094, ,          -4.3,     -0.497954, ,          -4.3,    -0.4985679, ,          -4.2,    -0.4875141, ,            -4,    -0.4647365, , 
         -4.3,    -0.2134258, ,          -4.3,    -0.1935174, ,          -4.3,    -0.1812784, ,          -4.3,    -0.1721564, ,          -4.3,    -0.1648133, ,          -4.3,     -0.158669, ,          -4.3,     -0.153443, ,          -4.3,    -0.1489351, ,          -4.3,    -0.1449684, ,          -4.3,    -0.1414332, ,          -4.3,    -0.1199386, ,          -4.3,    -0.4736081, ,          -4.3,    -0.5646405, ,          -4.3,     -0.566965, ,          -4.3,    -0.5654258, ,          -4.3,    -0.5637498, ,          -4.3,    -0.5625813, ,          -4.3,    -0.5615629, ,          -4.3,    -0.5609844, ,          -4.3,    -0.5619559, ,          -4.3,    -0.5662155, ,          -4.3,    -0.5544293, ,          -4.3,    -0.5234636, ,          -4.2,    -0.4882001, ,          -4.3,    -0.4874832, ,          -4.2,    -0.4607321, ,          -4.3,    -0.4672337, ,          -4.3,    -0.4636523, ,          -4.2,      -0.45753, ,          -4.2,    -0.4639948, ,          -4.2,    -0.4675792, ,          -4.3,    -0.4809112, ,          -4.2,    -0.4714339, ,          -4.3,    -0.4840048, ,          -4.3,    -0.4850537, ,          -4.3,    -0.4860122, ,          -4.3,    -0.4867899, ,          -4.3,    -0.4914864, ,          -4.2,    -0.4824391, ,          -4.2,    -0.4838905, ,          -4.3,     -0.496425, ,          -4.3,    -0.4973573, ,          -4.2,    -0.4864686, ,          -4.2,    -0.4869664, ,          -4.1,    -0.4758993, ,          -3.9,    -0.4531362, , 
         -4.2,    -0.2091738, ,          -4.2,    -0.1897423, ,          -4.2,    -0.1777081, ,          -4.2,    -0.1686803, ,          -4.2,    -0.1613834, ,          -4.2,    -0.1552591, ,          -4.2,      -0.15003, ,          -4.2,    -0.1455131, ,          -4.2,    -0.1415323, ,          -4.2,    -0.1379796, ,          -4.2,     -0.116172, ,          -4.2,    -0.4479787, ,          -4.2,    -0.5549642, ,          -4.2,    -0.5597921, ,          -4.2,    -0.5577894, ,          -4.2,    -0.5561223, ,          -4.2,    -0.5547777, ,          -4.2,    -0.5537502, ,          -4.2,    -0.5530762, ,          -4.2,    -0.5534338, ,          -4.2,    -0.5572654, ,          -4.2,    -0.5392176, ,          -4.2,     -0.508526, ,          -4.1,    -0.4737925, ,          -4.2,    -0.4728482, ,          -4.1,    -0.4480041, ,          -4.2,    -0.4552016, ,          -4.2,    -0.4509405, ,          -4.1,    -0.4470277, ,          -4.1,    -0.4532486, ,          -4.1,    -0.4566352, ,          -4.2,    -0.4698062, ,          -4.1,    -0.4603817, ,          -4.2,    -0.4727689, ,          -4.2,    -0.4738802, ,          -4.2,    -0.4747626, ,          -4.2,    -0.4755594, ,          -4.2,    -0.4801129, ,          -4.1,    -0.4709863, ,          -4.1,    -0.4724654, ,          -4.2,     -0.484961, ,          -4.2,    -0.4858118, ,          -4.1,    -0.4749368, ,          -4.1,    -0.4754459, ,            -4,    -0.4643039, ,          -3.8,    -0.4415381, , 
         -4.1,    -0.2048749, ,          -4.1,    -0.1859213, ,          -4.1,    -0.1740971, ,          -4.1,    -0.1651682, ,          -4.1,    -0.1579202, ,          -4.1,    -0.1518179, ,          -4.1,    -0.1465882, ,          -4.1,    -0.1420637, ,          -4.1,      -0.13807, ,          -4.1,    -0.1345005, ,          -4.1,    -0.1123833, ,          -4.1,    -0.4209779, ,          -4.1,    -0.5445097, ,          -4.1,    -0.5522288, ,          -4.1,    -0.5501942, ,          -4.1,    -0.5484962, ,          -4.1,     -0.546944, ,          -4.1,    -0.5458946, ,          -4.1,    -0.5451138, ,          -4.1,    -0.5448971, ,          -4.1,     -0.548256, ,          -4.1,    -0.5237605, ,          -4.1,    -0.4932951, ,            -4,    -0.4589791, ,          -4.1,    -0.4579537, ,            -4,     -0.435281, ,          -4.1,    -0.4424334, ,          -4.1,    -0.4387497, ,            -4,    -0.4364671, ,            -4,    -0.4423394, ,            -4,    -0.4455902, ,            -4,    -0.4477643, ,            -4,    -0.4492793, ,          -4.1,    -0.4616094, ,          -4.1,    -0.4626146, ,          -4.1,    -0.4635351, ,          -4.1,    -0.4642915, ,          -4.1,    -0.4687547, ,            -4,    -0.4595692, ,            -4,    -0.4610161, ,          -4.1,    -0.4735068, ,          -4.1,    -0.4742276, ,            -4,    -0.4633887, ,            -4,    -0.4639057, ,          -3.9,    -0.4527803, ,          -3.7,    -0.4300426, , 
